Word,Count
today,106447
work,96303
more,90738
act,77729
need,76149
community,75110
make,74090
help,74039
family,72546
year,63444
get,62177
health,58538
support,51900
pass,50680
people,50475
thank,47934
day,47866
right,46461
time,45974
bill,45366
now,42683
join,41414
american,40585
vote,39417
care,38835
protect,38782
continue,35974
fight,35326
new,34311
americans,33508
take,32749
house,31413
proud,31166
congress,30876
country,30443
life,30051
here,28867
trump,24363
president,23624
ensure,20600
state,20163
woman,19551
great,17192
keep,17076
just,16333
law,16183
honor,15954
so,15950
see,15911
service,15637
week,15433
bipartisan,15423
child,15134
job,15024
go,14140
senate,13826
federal,13771
nation,11693
worker,11627
good,11458
business,10905
call,10301
climate,9969
access,9178
student,9115
pandemic,8944
provide,8940
america,8448
infrastructure,8326
veteran,8153
pay,8070
first,7955
legislation,7833
let,7771
public,6864
safe,6490
crisis,5817
black,5805
program,5734
de,5694
know,5661
funding,5513
cost,5312
last,5056
school,4974
many,4947
local,4847
justice,4711
michigan,4571
national,4493
include,4452
office,4430
gun,4415
back,4166
visit,4100
say,4061
nevada,3973
end,3893
well,3876
small,3856
live,3804
county,3760
texas,3739
violence,3709
biden,3660
el,3609
la,3595
discuss,3572
republicans,3524
georgia,3424
jersey,3419
virginia,3413
learn,3194
other,3191
y,3165
water,3164
tax,3148
colorado,3113
economy,2940
plan,2912
critical,2898
action,2773
democracy,2770
abortion,2769
florida,2695
come,2540
vaccine,2522
important,2470
arizona,2406
oregon,2404
north,2396
republican,2355
big,2300
change,2293
member,2276
serve,2260
colleague,2259
maryland,2256
stand,2252
folk,2223
nh,2208
para,2118
want,2111
los,2089
security,2063
energy,2042
court,1982
california,1970
illinois,1903
que,1894
district,1887
clean,1867
create,1863
mexico,1847
election,1840
central,1836
celebrate,1830
valley,1827
town,1799
ct,1790
home,1788
san,1744
investment,1743
happy,1708
minnesota,1706
stop,1669
watch,1651
granite,1617
ohio,1598
dc,1585
washington,1565
nj,1538
wisconsin,1533
mental,1511
do,1445
ukraine,1421
military,1373
relief,1351
housing,1349
border,1331
receive,1296
delaware,1295
las,1292
buildbackbetter,1265
sure,1261
administration,1251
rural,1243
debt,1236
hampshire,1217
kid,1207
capitol,1198
together,1179
congressman,1168
iowa,1164
us,1160
maine,1157
montana,1153
region,1151
chair,1151
food,1146
democrats,1130
forward,1109
glad,1092
nevadans,1092
lead,1081
coast,1081
tom,1079
hall,1055
future,1051
voting,1012
houston,1004
deserve,993
world,980
talk,968
connecticut,954
price,954
read,949
wv,948
resident,945
south,935
wildfire,927
carolina,925
meet,919
speak,918
congressional,918
west,917
york,917
address,913
hold,912
statement,892
forthepeople,886
vermont,882
donald,871
virginians,862
wa,848
use,824
dcstatehood,821
full,818
por,808
hawaii,802
resource,799
build,798
effort,796
long,791
nyc,788
chicago,786
government,785
diego,783
hear,779
expand,730
ga,728
rhode,722
friend,718
ri,716
grateful,715
find,704
paso,703
